Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
ACCONCIATORE;"CSO DI PORTA VIGENTINA N. 40 ; (z.d. 1)";CSO;DI PORTA VIGENTINA;40;4026;1;;;50
ACCONCIATORE;"CSO DI PORTA VITTORIA N. 32 ; (z.d. 1)";CSO;DI PORTA VITTORIA;32;3016;1;ACCONCIATORE;;49
ACCONCIATORE;"CSO DI PORTA VITTORIA N. 58 ; (z.d. 1)";CSO;DI PORTA VITTORIA;58;3016;1;;;53
ACCONCIATORE;"CSO GARIBALDI GIUSEPPE N. 79 ; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;79;1010;1;;46;78
ACCONCIATORE;"CSO GARIBALDI GIUSEPPE N. 81 ; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;81;1010;1;;;
ACCONCIATORE;"CSO LODI N. 112 1ø piano; (z.d. 4)";CSO;LODI;112;4068;4;;;
ACCONCIATORE;"CSO LODI N. 24 ; (z.d. 5)";CSO;LODI;24;4068;5;;;64
ACCONCIATORE;CSO LODI N. 93/1 (z.d. 4);CSO;LODI;93/1;4068;4;;;
ACCONCIATORE;"CSO MAGENTA N. 87 ; (z.d. 1)";CSO;MAGENTA;87;604;1;;8;26
ACCONCIATORE;"CSO MONFORTE N. 16 ; (z.d. 1)";CSO;MONFORTE;16;348;1;;;25
ACCONCIATORE;"CSO VENEZIA N. 8 ; (z.d. 1)";CSO;VENEZIA;8;238;1;ACCONCIATORE;14;81
ACCONCIATORE;"CSO VENTIDUE MARZO N. 25 ; (z.d. 4)";CSO;VENTIDUE MARZO;25;3074;4;;;
ACCONCIATORE;"CSO VENTIDUE MARZO N. 5 ; (z.d. 4)";CSO;VENTIDUE MARZO;5;3074;4;;;
ACCONCIATORE;"CSO VITTORIO EMANUELE II N. 15 1ø piano; (z.d. 1)";CSO;VITTORIO EMANUELE II;15;214;1;;;
ACCONCIATORE;"CSO VITTORIO EMANUELE II N. 24 2øinterrato; (z.d. 1)";CSO;VITTORIO EMANUELE II;24;214;1;;;42
ACCONCIATORE;"CSO VITTORIO EMANUELE II N. 30 primo piano; (z.d. 1)";CSO;VITTORIO EMANUELE II;30;214;1;;;40
ACCONCIATORE;"FOR BUONAPARTE N. 55 ; (z.d. 1)";FOR;BUONAPARTE;55;711;1;;;
ACCONCIATORE;"FOR BUONAPARTE N. 63 ; (z.d. 1)";FOR;BUONAPARTE;63;711;1;;;45
ACCONCIATORE;"LGO DEI GELSOMINI N. 6 ; (z.d. 6)";LGO;DEI GELSOMINI;6;5394;6;;5;15
ACCONCIATORE;"LGO DELLA CROCETTA N. 2 ; (z.d. 1)";LGO;DELLA CROCETTA;2;654;1;;;
ACCONCIATORE;"LGO MURANI ORESTE N. 2 ingr. via caruso; (z.d. 3)";LGO;MURANI ORESTE;2;3234;3;;;
ACCONCIATORE;"LGO PROMESSI SPOSI N. 7 ; (z.d. 5)";LGO;PROMESSI SPOSI;7;5415;5;;;
ACCONCIATORE;"LGO TOSCANINI ARTURO N. 1 ; (z.d. 1)";LGO;TOSCANINI ARTURO;1;97;1;;;55
ACCONCIATORE;"LGO VULCI N. 5 ; (z.d. 9)";LGO;VULCI;5;1339;9;;;28
ACCONCIATORE;"mm1 duomo codvia 9112 num.000; (z.d. 1)";CSO;SEMPIONE;10;7137;1;;;
ACCONCIATORE;"PLE BAIAMONTI ANTONIO N. 1 con ingresso in via p. sarpi; (z.d. 8)";PLE;BAIAMONTI ANTONIO;1;7235;8;;;
ACCONCIATORE;"PLE CUOCO VINCENZO N. 5 ; (z.d. 4)";PLE;CUOCO VINCENZO;5;3163;4;;;70
ACCONCIATORE;"PLE F.LLI ZAVATTARI N. 4 ; (z.d. 7)";PLE;F.LLI ZAVATTARI;4;6537;7;;;49
ACCONCIATORE;"PLE GAMBARA VERONICA N. 5 ; (z.d. 7)";PLE;GAMBARA VERONICA;5;6593;7;;;
ACCONCIATORE;"PLE MACIACHINI CARLO N. 1 con ingresso v.c.farini; (z.d. 9)";PLE;MACIACHINI CARLO;1;1361;9;;;
ACCONCIATORE;"PLE MACIACHINI CARLO N. 1 ; (z.d. 9)";PLE;MACIACHINI CARLO;1;1361;9;;;36
ACCONCIATORE;"PLE MARTESANA N. 4 ; (z.d. 2)";PLE;MARTESANA;4;2707;2;ACCONCIATORE;;
ACCONCIATORE;"PLE NIGRA COSTANTINO N. 6 ; (z.d. 9)";PLE;NIGRA COSTANTINO;6;1236;9;;;45
ACCONCIATORE;"PLE SIENA N. 8 ; (z.d. 7)";PLE;SIENA;8;6616;7;;10;24
ACCONCIATORE;"PZA ARGENTINA N. 4 ; (z.d. 3)";PZA;ARGENTINA;4;2233;3;;;33
ACCONCIATORE;"PZA ASPROMONTE N. 35 ; (z.d. 3)";PZA;ASPROMONTE;35;2246;3;;;49
ACCONCIATORE;"PZA CAIAZZO N. 2 ingresso via gaffurio; (z.d. 3)";PZA;CAIAZZO;2;2259;3;;;32
ACCONCIATORE;"PZA DE ANGELI ERNESTO N. 3 ; (z.d. 7)";PZA;DE ANGELI ERNESTO;3;6276;7;;24;52
ACCONCIATORE;"PZA DEI VOLONTARI N. 3 ; (z.d. 1)";PZA;DEI VOLONTARI;3;7143;1;;;53
ACCONCIATORE;"PZA DELLA TRIVULZIANA N. 1 ; (z.d. 9)";PZA;DELLA TRIVULZIANA;1;1765;9;;;
ACCONCIATORE;"PZA DERGANO N. 2 altro locale; (z.d. 9)";PZA;DERGANO;2;1500;9;;;
ACCONCIATORE;"PZA DERGANO N. 9 ; (z.d. 9)";PZA;DERGANO;9;1500;9;;;63
ACCONCIATORE;"PZA GUARDI FRANCESCO N. 4 ; (z.d. 3)";PZA;GUARDI FRANCESCO;4;3312;3;;;
ACCONCIATORE;"PZA IMPERATORE TITO N. 8 ; (z.d. 4)";PZA;IMPERATORE TITO;8;3216;4;;;25
ACCONCIATORE;"PZA INSUBRIA N. 10 ; (z.d. 4)";PZA;INSUBRIA;10;3221;4;;;42
ACCONCIATORE;"PZA MIANI GUGLIELMO N. 5 ; (z.d. 6)";PZA;MIANI GUGLIELMO;5;5308;6;;;
ACCONCIATORE;"PZA MONTE FALTERONA N. 3 ; (z.d. 7)";PZA;MONTE FALTERONA;3;6558;7;;;52
ACCONCIATORE;"PZA NAPOLI N. 19 ; (z.d. 6)";PZA;NAPOLI;19;5131;6;;;25
ACCONCIATORE;"PZA NAPOLI N. 7 ; (z.d. 6)";PZA;NAPOLI;7;5131;6;;;
ACCONCIATORE;"PZA QUATTRO NOVEMBRE N. 6 piano rialzato; (z.d. 2)";PZA;QUATTRO NOVEMBRE;6;1199;2;;;84
ACCONCIATORE;"PZA SAN GIUSEPPE N. 9 ; (z.d. 9)";PZA;SAN GIUSEPPE;9;1442;9;;;40
ACCONCIATORE;"PZA SAN LUIGI N. 5 ; (z.d. 4)";PZA;SAN LUIGI;5;4145;4;ACCONCIATORE;;70
ACCONCIATORE;"PZA SCOLARI ROSA N. 1 ; (z.d. 8)";PZA;SCOLARI ROSA;1;6579;8;;;20
ACCONCIATORE;"PZA SIGMUND FREUD N. 1 int. staz. p.ta garibaldi; (z.d. 9)";PZA;SIGMUND FREUD;1;1705;9;;;
ACCONCIATORE;"PZA VIGILI DEL FUOCO N. 8 ; (z.d. 3)";PZA;VIGILI DEL FUOCO;8;2710;3;;;
ACCONCIATORE;"VIA AGNELLO N. 18 ; (z.d. 1)";VIA;AGNELLO;18;209;1;;;100
ACCONCIATORE;"VIA ALBANI FRANCESCO N. 63 ; (z.d. 8)";VIA;ALBANI FRANCESCO;63;6399;8;;3;33
ACCONCIATORE;"VIA ALBERTO DA GIUSSANO N. 1 ; (z.d. 7)";VIA;ALBERTO DA GIUSSANO;1;6188;7;;5;26
ACCONCIATORE;"VIA ALBRICCI ALBERICO N. 10 ; (z.d. 1)";VIA;ALBRICCI ALBERICO;10;337;1;;;98
ACCONCIATORE;"VIA ALDINI ANTONIO N. 47 ; (z.d. 8)";VIA;ALDINI ANTONIO;47;7461;8;;;26
ACCONCIATORE;"VIA ALTAMURA SAVERIO N. 17 ; (z.d. 7)";VIA;ALTAMURA SAVERIO;17;6576;7;;;
ACCONCIATORE;"VIA ALTAMURA SAVERIO N. 7 ; (z.d. 5)";VIA;ALTAMURA SAVERIO;7;6576;7;;;
ACCONCIATORE;"VIA AMADEO GIAN ANTONIO N. 24 ; (z.d. 3)";VIA;AMADEO GIAN ANTONIO;24;3228;3;;;
ACCONCIATORE;"VIA AMEDEI N. 3 ; (z.d. 1)";VIA;AMEDEI;3;529;1;;;53
ACCONCIATORE;"VIA AMPERE ANDREA MARIA N. 123 ; (z.d. 3)";VIA;AMPERE ANDREA MARIA;123;2428;3;;1;32
ACCONCIATORE;"VIA ANGUISSOLA SOFONISBA N. 31 ; (z.d. 7)";VIA;ANGUISSOLA SOFONISBA;31;6609;7;;;31
ACCONCIATORE;"VIA ANTONELLO DA MESSINA N. 22 ; (z.d. 7)";VIA;ANTONELLO DA MESSINA;22;6594;7;;7;25
ACCONCIATORE;"VIA APPENNINI num.077h; (z.d. 8)";VIA;APPENNINI;;7514;8;;;
ACCONCIATORE;"VIA ARBE N. 33 ; (z.d. 2)";VIA;ARBE;33;1352;2;;;
ACCONCIATORE;"VIA ARESE FRANCESCO N. 20 ingresso su v.thaon de revel 9; (z.d. 9)";VIA;ARESE FRANCESCO;20;1186;9;;;
ACCONCIATORE;"VIA ARGELATI FILIPPO N. 1 ; (z.d. 6)";VIA;ARGELATI FILIPPO;1;5152;6;;;
ACCONCIATORE;"VIA ARIMONDI GIUSEPPE N. 11 ; (z.d. 8)";VIA;ARIMONDI GIUSEPPE;11;7179;8;;;
ACCONCIATORE;"VIA ARIOSTO LODOVICO N. 27 ; (z.d. 1)";VIA;ARIOSTO LODOVICO;27;6184;1;;;51
ACCONCIATORE;VIA ARSIA N. 7 (z.d. 8);VIA;ARSIA;7;7472;8;acconciatore;;20
ACCONCIATORE;"VIA ASELLI GASPARE N. 20 ; (z.d. 3)";VIA;ASELLI GASPARE;20;3167;3;;;
ACCONCIATORE;"VIA ASELLI GASPARE N. 26 ; (z.d. 3)";VIA;ASELLI GASPARE;26;3167;3;;;
ACCONCIATORE;"VIA ASELLI GASPARE N. 5 ; (z.d. 3)";VIA;ASELLI GASPARE;5;3167;3;;;
ACCONCIATORE;"VIA BAINSIZZA N. 2 ingresso da v.le col di lana; (z.d. 5)";VIA;BAINSIZZA;2;5213;5;;;
ACCONCIATORE;"VIA BARONI COSTANTINO N. 242 ; (z.d. 5)";VIA;BARONI COSTANTINO;242;5422;5;;;
ACCONCIATORE;"VIA BARRILI  ANTON GIULIO N. 24 ; (z.d. 5)";VIA;BARRILI  ANTON GIULIO;24;5324;5;;1;21
ACCONCIATORE;"VIA BATTISTI CESARE N. 21 ; (z.d. 1)";VIA;BATTISTI CESARE;21;3019;1;;;
ACCONCIATORE;"VIA BECCARIA CESARE N. 5 ; (z.d. 1)";VIA;BECCARIA CESARE;5;307;1;;1;22
ACCONCIATORE;"VIA BELLEZZA GIOVANNI N. 1 ; (z.d. 5)";VIA;BELLEZZA GIOVANNI;1;4067;5;;;39
ACCONCIATORE;"VIA BELLINI GENTILE N. 10 ; (z.d. 6)";VIA;BELLINI GENTILE;10;5387;6;;;30
ACCONCIATORE;"VIA BERGOGNONE AMBROGIO DA FOSSANO N. 31 ; (z.d. 6)";VIA;BERGOGNONE AMBROGIO DA FOSSANO;31;5130;6;;;
ACCONCIATORE;"VIA BERRA DOMENICO N. 3 ; (z.d. 2)";VIA;BERRA DOMENICO;3;2526;2;;;26
ACCONCIATORE;"VIA BERTOLAZZI CARLO N. 20 ; (z.d. 3)";VIA;BERTOLAZZI CARLO;20;2662;3;;;
ACCONCIATORE;"VIA BESSARIONE N. 42 ; (z.d. 4)";VIA;BESSARIONE;42;4152;4;;;52
ACCONCIATORE;"VIA BETTI UGO N. 46D num.046d; (z.d. 8)";VIA;BETTI UGO;46D;7517;8;ACCONCIATORE;6;33
ACCONCIATORE;"VIA BETTI UGO num.161a; (z.d. 8)";VIA;BETTI UGO;;7517;8;;6;23
ACCONCIATORE;"VIA BIANCHI MOSE' N. 11 ; (z.d. 7)";VIA;BIANCHI MOSE';11;6385;7;;;28
ACCONCIATORE;"VIA BIELLA N. 20 1 locale; (z.d. 6)";VIA;BIELLA;20;5305;6;;;39
ACCONCIATORE;"VIA BIGLI N. 28 ; (z.d. 1)";VIA;BIGLI;28;224;1;;;36
ACCONCIATORE;VIA BIONDELLI BERNARDINO N. 1 (z.d. 5);VIA;BIONDELLI BERNARDINO;1;4236;5;;;48
ACCONCIATORE;"VIA BIUMI PAOLO GEROLAMO N. 18 ; (z.d. 2)";VIA;BIUMI PAOLO GEROLAMO;18;2465;2;;5;28
ACCONCIATORE;"VIA BOBBIO N. 2 ; (z.d. 6)";VIA;BOBBIO;2;5107;6;;12;13
ACCONCIATORE;"VIA BOIARDO MATTEO MARIA N. 22 ; (z.d. 2)";VIA;BOIARDO MATTEO MARIA;22;2323;2;;;29
ACCONCIATORE;"VIA BOIFAVA PIETRO N. 80 ; (z.d. 5)";VIA;BOIFAVA PIETRO;80;5341;5;;2;23
ACCONCIATORE;"VIA BOIFAVA PIETRO num.006c; (z.d. 5)";VIA;BOIFAVA PIETRO;;5341;5;;7;20
ACCONCIATORE;"VIA BOLZANO N. 6 ; (z.d. 2)";VIA;BOLZANO;6;2312;2;;10;20
ACCONCIATORE;"VIA BOVISASCA num.173; (z.d. 9)";VIA;FERMIGNANO;;1607;9;;;
ACCONCIATORE;"VIA BRIZI EUGENIO N. 1 ; (z.d. 4)";VIA;BRIZI EUGENIO;1;4186;4;;;14
ACCONCIATORE;VIA BRUNO CASSINARI N. 1 (z.d. 4);VIA;BRUNO CASSINARI;1;4386;4;;;55
ACCONCIATORE;"VIA BRUSUGLIO N. 67 ; (z.d. 9)";VIA;BRUSUGLIO;67;1550;9;;;55
ACCONCIATORE;"VIA CABELLA BARTOLOMEO N. 21 ; (z.d. 7)";VIA;CABELLA BARTOLOMEO;21;6778;7;;16;24
ACCONCIATORE;"VIA CADORE N. 21 ; (z.d. 4)";VIA;CADORE;21;3077;4;;;62
ACCONCIATORE;"VIA CADORE N. 39 ; (z.d. 4)";VIA;CADORE;39;3077;4;;;
ACCONCIATORE;"VIA CALIFORNIA N. 2 ; (z.d. 7)";VIA;CALIFORNIA;2;6101;7;;;65
ACCONCIATORE;"VIA CALVAIRATE N. 1 angolo viale molise; (z.d. 4)";VIA;CALVAIRATE;1;3225;4;;;
ACCONCIATORE;"VIA CALVI PIETRO p.t.acconciatore num.003a; (z.d. 4)";VIA;CALVI PIETRO;;3083;4;;5;193
ACCONCIATORE;"VIA CAMPERIO MANFREDO N. 17 ; (z.d. 1)";VIA;CAMPERIO MANFREDO;17;610;1;;;50
ACCONCIATORE;"VIA CANDIANI GIUSEPPE N. 98 ; (z.d. 9)";VIA;CANDIANI GIUSEPPE;98;1242;9;;;30
ACCONCIATORE;"VIA CANONICA LUIGI N. 59 ; (z.d. 1)";VIA;CANONICA LUIGI;59;7121;1;ACCONCIATORE;2;48
ACCONCIATORE;"VIA CANOVA ANTONIO N. 1 ; (z.d. 1)";VIA;CANOVA ANTONIO;1;7238;1;;;65
ACCONCIATORE;"VIA CAPECELATRO ALFONSO N. 14 ; (z.d. 7)";VIA;CAPECELATRO ALFONSO;14;6575;7;acconciatore;;36
ACCONCIATORE;"VIA CAPRI N. 21 ; (z.d. 7)";VIA;CAPRI;21;6761;7;;;
ACCONCIATORE;"VIA CAPSONI SIRO N. 11 ; (z.d. 9)";VIA;CAPSONI SIRO;11;1652;9;;;
ACCONCIATORE;"VIA CARABELLI RODOLFO N. 1 ; (z.d. 4)";VIA;CARABELLI RODOLFO;1;4096;4;;16;16
ACCONCIATORE;"VIA CARDUCCI GIOSUE' N. 12 ; (z.d. 1)";VIA;CARDUCCI GIOSUE';12;602;1;acconciatore;;46
ACCONCIATORE;"VIA CARLI GIAN RINALDO N. 39 ; (z.d. 9)";VIA;CARLI GIAN RINALDO;39;1563;9;;2;18
ACCONCIATORE;"VIA CARNEVALI ANTONIO N. 11 ; (z.d. 9)";VIA;CARNEVALI ANTONIO;11;1268;9;;;
ACCONCIATORE;"VIA CAROZZI GIUSEPPE N. 18 ; (z.d. 6)";VIA;CAROZZI GIUSEPPE;18;6661;6;;2;35
ACCONCIATORE;"VIA CASATI FELICE N. 25 ; (z.d. 2)";VIA;CASATI FELICE;25;2122;2;;;48
ACCONCIATORE;"VIA CASELLA GIOVANNI BATTISTA N. 37 con ingresso da v.le espinasse; (z.d. 8)";VIA;CASELLA GIOVANNI BATTISTA;37;7382;8;;;40
ACCONCIATORE;"VIA CASORETTO N. 43 ; (z.d. 3)";VIA;CASORETTO;43;2420;3;;;
ACCONCIATORE;"VIA CASSINIS GIOVANNI BATTISTA N. 23 interno; (z.d. 4)";VIA;CASSINIS GIOVANNI BATTISTA;23;4309;4;;;
ACCONCIATORE;"VIA CASTALDI PANFILO N. 21 ; (z.d. 3)";VIA;CASTALDI PANFILO;21;2119;3;;;
ACCONCIATORE;"VIA CASTALDI PANFILO N. 29 ; (z.d. 3)";VIA;CASTALDI PANFILO;29;2119;3;;;55
ACCONCIATORE;"VIA CASTALDI PANFILO N. 37 ; (z.d. 3)";VIA;CASTALDI PANFILO;37;2119;3;;;58
ACCONCIATORE;"VIA CASTALDI PANFILO N. 42 ; (z.d. 3)";VIA;CASTALDI PANFILO;42;2119;3;;;
ACCONCIATORE;"VIA CAVALERI LUDOVICO N. 1 ; (z.d. 6)";VIA;CAVALERI LUDOVICO;1;6845;6;;;
ACCONCIATORE;"VIA CAVALLOTTI FELICE N. 13 ; (z.d. 1)";VIA;CAVALLOTTI FELICE;13;312;1;;7;56
ACCONCIATORE;"VIA CELIO N. 2 ; (z.d. 7)";VIA;CELIO;2;6623;7;;;60
ACCONCIATORE;"VIA CENISIO N. 61 ; (z.d. 8)";VIA;CENISIO;61;7184;8;;;36
ACCONCIATORE;"VIA CENISIO N. 83 ; (z.d. 8)";VIA;CENISIO;83;7184;8;;;
ACCONCIATORE;"VIA CESARE DA SESTO N. 20 ; (z.d. 1)";VIA;CESARE DA SESTO;20;5101;1;;;29
ACCONCIATORE;"VIA CHAVEZ GIORGIO N. 1 ; (z.d. 2)";VIA;CHAVEZ GIORGIO;1;2365;2;;;
ACCONCIATORE;"VIA CHIARELLI LUIGI N. 10 interno m.c.c.; (z.d. 8)";VIA;CHIARELLI LUIGI;10;7519;8;;;
ACCONCIATORE;"VIA CHIESE N. 60 ; (z.d. 9)";VIA;CHIESE;60;1627;9;;;
ACCONCIATORE;"VIA CHOPIN FEDERICO N. 50 ; (z.d. 5)";VIA;CHOPIN FEDERICO;50;4297;5;;;
ACCONCIATORE;"VIA CIARDI GUGLIELMO N. 25 ; (z.d. 7)";VIA;CIARDI GUGLIELMO;25;6574;7;;;34
ACCONCIATORE;"VIA CICERI VISCONTI LAURA N. 2 ; (z.d. 4)";VIA;CICERI VISCONTI LAURA;2;3220;4;;;50
ACCONCIATORE;"VIA CICOGNA MOZZONI CARLO N. 23 ; (z.d. 9)";VIA;CICOGNA MOZZONI CARLO;23;1676;9;;;
ACCONCIATORE;VIA CIVITALI MATTEO N. 7 (z.d. 7);VIA;CIVITALI MATTEO;7;6569;7;;;37
ACCONCIATORE;"VIA COLA DI RIENZO N. 44 con ingresso via trezzo d'adda; (z.d. 6)";VIA;COLA DI RIENZO;44;6094;6;;3;33
ACCONCIATORE;"VIA COLONNA MARCO ANTONIO N. 14 ; (z.d. 8)";VIA;COLONNA MARCO ANTONIO;14;7158;8;;;30
ACCONCIATORE;"VIA COLONNA VITTORIA N. 8 ; (z.d. 7)";VIA;COLONNA VITTORIA;8;6284;7;;;34
ACCONCIATORE;"VIA COLUMELLA LUCIO GIUNIO N. 40 piano t. e seminterrato; (z.d. 2)";VIA;COLUMELLA LUCIO GIUNIO;40;2399;2;;;
ACCONCIATORE;"VIA CONCILIO VATICANO II N. 3 ; (z.d. 8)";VIA;CONCILIO VATICANO II;3;7356;8;;;
ACCONCIATORE;"VIA CONSOLE MARCELLO num.0181; (z.d. 8)";VIA;SILVA GUGLIELMO;49;6400;8;;;52
ACCONCIATORE;"VIA CORRENTI CESARE N. 22 ; (z.d. 1)";VIA;CORRENTI CESARE;22;555;1;;;47
ACCONCIATORE;"VIA CORRENTI CESARE N. 26 ; (z.d. 1)";VIA;CORRENTI CESARE;26;555;1;;;21
ACCONCIATORE;"VIA COSTA ANDREA N. 4 ; (z.d. 3)";VIA;COSTA ANDREA;4;2276;3;;;36
ACCONCIATORE;"VIA COSTANZA N. 3 ; (z.d. 7)";VIA;COSTANZA;3;6237;7;;3;74
ACCONCIATORE;"VIA COTTOLENGO SAN GIUSEPPE N. 12 ; (z.d. 6)";VIA;COTTOLENGO SAN GIUSEPPE;12;5375;6;;;
ACCONCIATORE;"VIA CREMA N. 21 ; (z.d. 5)";VIA;CREMA;21;4061;5;;;
ACCONCIATORE;"VIA CRESCENZAGO N. 13 ; (z.d. 3)";VIA;CRESCENZAGO;13;2396;3;;2;20
ACCONCIATORE;"VIA CRESCENZAGO N. 36 ; (z.d. 3)";VIA;CRESCENZAGO;36;2396;3;;;26
ACCONCIATORE;"VIA CRESPI PIETRO N. 13 ; (z.d. 2)";VIA;CRESPI PIETRO;13;2296;2;;15;17
ACCONCIATORE;"VIA D'ADDA CARLO N. 13 ; (z.d. 6)";VIA;D'ADDA CARLO;13;5272;6;;12;12
ACCONCIATORE;"VIA D'ADDA CARLO num.001a; (z.d. 6)";VIA;D'ADDA CARLO;;5272;6;;9;30
ACCONCIATORE;"VIA DALL'ONGARO FRANCESCO N. 2 ; (z.d. 4)";VIA;DALL'ONGARO FRANCESCO;2;3287;4;;2;28
ACCONCIATORE;"VIA DAL RE MARCANTONIO N. 2 ; (z.d. 8)";VIA;DAL RE MARCANTONIO;2;7381;8;;;52
ACCONCIATORE;"VIA DE AMICIS EDMONDO N. 36 ; (z.d. 1)";VIA;DE AMICIS EDMONDO;36;574;1;;;28
ACCONCIATORE;"VIA DE AMICIS EDMONDO N. 61 ; (z.d. 1)";VIA;DE AMICIS EDMONDO;61;574;1;;;
ACCONCIATORE;"VIA DE CRISTOFORIS CARLO N. 2 ; (z.d. 9)";VIA;DE CRISTOFORIS CARLO;2;1120;9;;;
ACCONCIATORE;"VIA DE FILIPPI FILIPPO N. 4 con ingr. in via broggi; (z.d. 3)";VIA;DE FILIPPI FILIPPO;4;2159;3;ACCONCIATORE;;
ACCONCIATORE;"VIA DEGLI IMBRIANI N. 25 al piano rialzato; (z.d. 9)";VIA;DEGLI IMBRIANI;25;1266;9;;;
ACCONCIATORE;"VIA DEGLI IMBRIANI N. 31 ; (z.d. 9)";VIA;DEGLI IMBRIANI;31;1266;9;;;20
ACCONCIATORE;"VIA DEI MARTINITT N. 3 ; (z.d. 7)";VIA;DEI MARTINITT;3;6336;7;;;45
ACCONCIATORE;"VIA DEI TRANSITI N. 1 ; (z.d. 2)";VIA;DEI TRANSITI;1;2284;2;;;35
ACCONCIATORE;"VIA DEI TULIPANI N. 2 ; (z.d. 6)";VIA;DEI TULIPANI;2;6713;6;;;40
ACCONCIATORE;"VIA DEL FANTE COSIMO N. 6 ; (z.d. 1)";VIA;DEL FANTE COSIMO;6;5192;1;;;
ACCONCIATORE;"VIA DELLA CAPINERA N. 5 ; (z.d. 6)";VIA;DELLA CAPINERA;5;6659;6;;;
ACCONCIATORE;"VIA DELLA FERRERA N. 18 num.018; (z.d. 6)";VIA;DELLA FERRERA;18;5451;6;;;34
ACCONCIATORE;"VIA DELLA MOSCOVA N. 10 ; (z.d. 1)";VIA;DELLA MOSCOVA;10;1016;1;;8;60
ACCONCIATORE;"VIA DELLA MOSCOVA N. 9 ; (z.d. 1)";VIA;DELLA MOSCOVA;9;1016;1;;2;17
ACCONCIATORE;"VIA DELLA SPIGA N. 2 ; (z.d. 1)";VIA;DELLA SPIGA;2;226;1;;;
ACCONCIATORE;"VIA DELL' ASSUNTA N. 3 ; (z.d. 5)";VIA;DELL' ASSUNTA;3;4274;5;;;95
ACCONCIATORE;"VIA DELLE BETULLE N. 34 ; (z.d. 7)";VIA;DELLE BETULLE;34;6828;7;;;
ACCONCIATORE;"VIA DELLE FORZE ARMATE N. 246 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;246;6643;7;;;49
ACCONCIATORE;"VIA DELLE FORZE ARMATE N. 326 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;326;6643;7;;;
ACCONCIATORE;"VIA DELLE FORZE ARMATE N. 3 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;3;6643;7;;;36
ACCONCIATORE;"VIA DELLE FORZE ARMATE N. 407 ; (z.d. 7)";VIA;DELLE FORZE ARMATE;407;6643;7;;;
ACCONCIATORE;"VIA DELLE FORZE ARMATE N. 410 ang. via ceriani n. 6; (z.d. 7)";VIA;DELLE FORZE ARMATE;410;6643;7;;4;32
ACCONCIATORE;"VIA DEL VECCHIO POLITECNICO N. 4 int.palestra down town; (z.d. 1)";VIA;DEL VECCHIO POLITECNICO;4;2101;1;;;
ACCONCIATORE;"VIA DE MARCHI EMILIO N. 3 ; (z.d. 2)";VIA;DE MARCHI EMILIO;3;1418;2;;;55
ACCONCIATORE;"VIA DE MARTINO EMILIO N. 1 ; (z.d. 9)";VIA;DE MARTINO EMILIO;1;1693;9;;;34
ACCONCIATORE;"VIA DERNA N. 9 ; (z.d. 2)";VIA;DERNA;9;2376;2;;;46
ACCONCIATORE;"VIA DESIDERIO DA SETTIGNANO N. 3 ; (z.d. 8)";VIA;DESIDERIO DA SETTIGNANO;3;6395;8;;;
ACCONCIATORE;"VIA DEZZA GIUSEPPE N. 24 ; (z.d. 7)";VIA;DEZZA GIUSEPPE;24;6108;7;;;30
ACCONCIATORE;"VIA DOMENICHINO N. 2 ; (z.d. 7)";VIA;DOMENICHINO;2;6383;7;;;
ACCONCIATORE;"VIA DONATELLO N. 27 ; (z.d. 3)";VIA;DONATELLO;27;2214;3;;;18
ACCONCIATORE;"VIA DONATELLO N. 32 ; (z.d. 3)";VIA;DONATELLO;32;2214;3;;;37
ACCONCIATORE;"VIA EMO ANGELO N. 2 ; (z.d. 2)";VIA;EMO ANGELO;2;2518;2;;;30
ACCONCIATORE;"VIA EUSTACHI BARTOLOMEO N. 24 ; (z.d. 3)";VIA;EUSTACHI BARTOLOMEO;24;2165;3;;;
ACCONCIATORE;"VIA EUSTACHI BARTOLOMEO N. 8 ; (z.d. 3)";VIA;EUSTACHI BARTOLOMEO;8;2165;3;ACCONCIATORE;;16
ACCONCIATORE;"VIA FAA' DI BRUNO EMILIO N. 14 ; (z.d. 4)";VIA;FAA' DI BRUNO EMILIO;14;4095;4;;;
ACCONCIATORE;"VIA FAA' DI BRUNO EMILIO N. 5 ; (z.d. 4)";VIA;FAA' DI BRUNO EMILIO;5;4095;4;;;35
ACCONCIATORE;"VIA FARA GUSTAVO N. 14 ; (z.d. 2)";VIA;FARA GUSTAVO;14;1183;2;;;74
ACCONCIATORE;"VIA FARA GUSTAVO N. 5 ; (z.d. 9)";VIA;FARA GUSTAVO;5;1183;9;;;22
ACCONCIATORE;"VIA FARINI CARLO N. 80 ; (z.d. 9)";VIA;FARINI CARLO;80;1114;9;;;
ACCONCIATORE;"VIA FARUFFINI FEDERICO N. 11 ; (z.d. 7)";VIA;FARUFFINI FEDERICO;11;6286;7;;;30
ACCONCIATORE;"VIA FATEBENEFRATELLI N. 15 ; (z.d. 1)";VIA;FATEBENEFRATELLI;15;144;1;;8;52
