t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,FABIO FILZI,14,1190,2,26.5,63.0
Centro Massaggi,Via,FABIO FILZI,15,1190,2,14.0,50.0
Parrucchiere per Donna,Via,FABIO FILZI,23,1190,2,4.0,31.0
Tipo A - Estetica Manuale,Via,FABIO FILZI,27,1190,2,8.0,45.0
Parrucchiere per Uomo,Via,FABIO FILZI,33,1190,2,5.0,33.0
Parrucchiere per Donna,Via,FABIO FILZI,4,1190,2,4.0,17.0
Tipo A - Estetica Manuale;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,FABIO FILZI,41,1190,2,2.5,44.0
Parrucchiere per Uomo,Via,FABIO FILZI,42,1190,2,5.0,15.0
Parrucchiere per Uomo;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,FABIO FILZI,45,1190,2,2.0,34.0
Parrucchiere per Uomo,Via,FABIO FILZI,9,1190,2,5.0,41.0
Parrucchiere per Donna,Via,ACHILLE ZEZON,2,1194,2,25.0,16.0
Acconciatore;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIOVANNI BATTISTA PIRELLI,27,1195,9,20.0,70.0
Parrucchiere per Donna,Via,GIUSEPPINA LAZZARONI,10,1196,2,4.0,64.0
Acconciatore,Via,GIULIO TARRA,6,1198,2,6.0,50.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,GIULIO TARRA,6,1198,2,6.0,27.0
Acconciatore,Piazza,QUATTRO NOVEMBRE,6,1199,2,6.0,84.0
Tipo A - Estetica Manuale;Centro Massaggi,Via,ANDEGARI,18,120,1,1.0,77.0
Parrucchiere per Uomo,Via,VITTOR PISANI,19,1201,2,3.0,18.0
Parrucchiere per Donna,Via,VITTOR PISANI,5,1201,2,4.0,72.0
Parrucchiere per Uomo,Via,VITTOR PISANI,7,1201,2,5.0,60.0
Parrucchiere per Uomo,Via,GIOVANNI BATTISTA SAMMARTINI,39,1202,2,5.0,22.0
Parrucchiere per Donna,Via,GIOVANNI BATTISTA SAMMARTINI,41,1202,2,4.0,19.0
Acconciatore,Via,PONTE SEVESO,22,1203,2,6.0,46.0
Tipo A - Estetica Manuale,Via,PONTE SEVESO,22,1203,2,2.0,31.0
Parrucchiere per Uomo,Via,PONTE SEVESO,26,1203,2,5.0,15.0
Parrucchiere per Donna,Via,PONTE SEVESO,28,1203,2,4.0,35.0
Tipo A - Estetica Manuale,Via,PONTE SEVESO,30,1203,2,8.0,45.0
Acconciatore,Via,PONTE SEVESO,33,1203,2,6.0,45.0
Centro Benessere,Via,PONTE SEVESO,36,1203,2,5.0,45.0
Parrucchiere per Donna,Via,PONTE SEVESO,40,1203,2,4.0,40.0
Parrucchiere per Donna,Via,PONTE SEVESO,44,1203,2,4.0,18.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,COPERNICO,30A,1204,2,16.5,95.0
Acconciatore,Via,COPERNICO,61,1204,2,6.0,35.0
Tipo A - Estetica Manuale,Via,COPERNICO,61,1204,2,8.0,45.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,GIOVANNI SCHIAPARELLI,1,1211,2,26.5,48.5
Tipo A - Estetica Manuale,Via,GIOVANNI SCHIAPARELLI,4,1211,2,8.0,45.0
Parrucchiere per Uomo,Via,GIOVANNI SCHIAPARELLI,8,1211,2,5.0,20.5
Acconciatore,Viale,LUNIGIANA,12,1214,2,6.0,37.0
Acconciatore,Viale,LUNIGIANA,15,1214,2,10.0,28.0
Centro Massaggi,Via,CRISTOFORO GLUCK,5,1215,2,14.0,87.0
Parrucchiere per Uomo,Via,CRISTOFORO GLUCK,5,1215,2,4.0,28.0
Parrucchiere per Uomo,Via,GIANFRANCO ZURETTI,11,1216,2,6.0,16.0
Parrucchiere per Donna,Via,GIANFRANCO ZURETTI,13,1216,2,1.0,37.0
Parrucchiere per Donna,Via,GIANFRANCO ZURETTI,25,1216,2,4.0,25.0
Centro Massaggi,Via,GIANFRANCO ZURETTI,35,1216,2,14.0,47.0
Parrucchiere per Donna,Via,GIANFRANCO ZURETTI,42,1216,2,2.0,16.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,GIANFRANCO ZURETTI,49,1216,2,6.0,20.0
Parrucchiere per Uomo,Via,EDOLO,27,1217,2,2.0,21.0
Centro Massaggi,Via,EDOLO,28,1217,2,14.0,25.0
Parrucchiere per Donna,Via,EDOLO,3,1217,2,7.0,11.0
Parrucchiere per Donna,Via,EDOLO,42,1217,2,4.0,58.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,EDOLO,42,1217,2,26.5,42.0
Parrucchiere per Donna,Viale,VINCENZO LANCETTI,39,1221,9,2.0,36.0
Tipo A - Estetica Manuale,Via,SOMMACAMPAGNA,9,1225,9,8.0,65.0
Parrucchiere per Donna,Viale,STELVIO,16,1227,9,14.0,20.0
Acconciatore,Viale,STELVIO,39,1227,9,6.0,25.0
Tipo A - Estetica Manuale,Viale,STELVIO,39,1227,9,8.0,45.0
Parrucchiere per Donna,Viale,STELVIO,41,1227,9,4.0,35.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,STELVIO,41,1227,9,26.5,48.5
Parrucchiere per Donna,Viale,STELVIO,44,1227,9,4.0,16.0
Parrucchiere per Donna,Viale,STELVIO,53,1227,9,4.0,27.0
Tipo A - Estetica Manuale,Viale,STELVIO,53,1227,9,8.0,87.0
Tipo A - Estetica Manuale,Viale,STELVIO,66,1227,9,8.0,45.0
Acconciatore,Via,RESEGONE,1,1228,9,6.0,37.0
Acconciatore,Viale,EDOARDO JENNER,10,1230,9,6.0,17.0
Parrucchiere per Donna,Viale,EDOARDO JENNER,14,1230,9,2.0,30.0
Parrucchiere per Donna,Viale,EDOARDO JENNER,46,1230,9,4.0,21.0
Parrucchiere per Donna,Viale,EDOARDO JENNER,49,1230,9,4.0,38.0
Parrucchiere per Uomo,Viale,EDOARDO JENNER,72,1230,9,5.0,20.5
Parrucchiere per Uomo,Viale,LUIGI TORELLI,5,1232,9,1.0,18.0
