"CODICE_VIA";"NUMEROCOMPLETO";"MUNICIPIO";"STATOCIVICO";"GAUSSB_X";"GAUSSB_Y";"WGS84_X";"WGS84_Y";"WEBMERCATOR_X";"WEBMERCATOR_Y";"LAT_WGS84";"LONG_WGS84";"DATA_MODFINE";"IDMASTER";"LIVELLO"
1452;"";"9";8;1515876,3351;5038874,3956;515848,3039;5038854,3019;1024458,1945;5701065,6339;45,50304;9,202865;0;186371;0
1453;"";"2";8;1515954,852;5038801,1894;515926,8196;5038781,0974;1024569,8087;5700960,6942;45,50238;9,203867;0;183846;0
1454;"";"9";8;1512620,9946;5039968,3557;512593,0203;5039948,2277;1019822,782;5702640,2432;45,512953;9,161224;0;186148;0
1455;"";"9";8;1512797,5947;5039877,032;512769,6175;5039856,9065;1020074,1994;5702509,154;45,512128;9,163482;0;186149;0
1456;"";"2";8;1516523,8513;5038443,4238;516495,8097;5038423,3409;1025379,2268;5700447,15;45,499146;9,211138;0;183847;0
1457;"";"2";8;1516525,1612;5038533,174;516497,1192;5038513,0894;1025381,4288;5700575,4454;45,499954;9,211158;0;183848;0
1458;"";"9";8;1512832,0051;5039973,6436;512804,0268;5039953,5164;1020123,5191;5702647,1948;45,512997;9,163925;0;183849;0
1459;"";"9";8;1512810,4689;5038941,9267;512782,4953;5038921,8189;1020089,8375;5701172,1586;45,503711;9,163623;0;183850;0
1460;"";"9";8;1512226,9818;5040408,6253;512199,0131;5040388,4873;1019262,4719;5703270,9034;45,516923;9,156191;0;183851;0
1461;"";"9";8;1512619,9429;5039026,9884;512591,9726;5039006,8782;1019818,5964;5701294,3162;45,50448;9,161186;0;183852;0
1462;"";"9";8;1512673,8426;5039131,1315;512645,8708;5039111,0195;1019895,6985;5701443,0514;45,505417;9,161879;0;183853;0
1463;"";"9";8;1512603,5254;5039190,8106;512575,5547;5039170,6973;1019795,6693;5701528,5754;45,505955;9,16098;0;183854;0
1464;"";"9";8;1512832,157;5039332,1949;512804,1813;5039312,0799;1020121,8737;5701730,0538;45,507224;9,163911;0;183855;0
1465;"";"9";8;1512875,3557;5038899,9887;512847,3811;5038879,882;1020182,1738;5701112,0138;45,503332;9,164452;0;183856;0
1466;"";"9";8;1512832,2202;5039058,6589;512804,2457;5039038,5491;1020121,1701;5701338,9814;45,504761;9,163904;0;183857;0
1467;"";"9";8;1512728,0952;5038947,3241;512700,1231;5038927,2158;1019972,4773;5701180,1136;45,503761;9,162569;0;183858;0
1468;"";"9";8;1512982,5283;5039187,9644;512954,5504;5039167,8526;1020335,7303;5701523,406;45,505923;9,165832;0;183859;0
1469;"";"9";8;1513011,7911;5038911,7199;512983,8138;5038891,6136;1020376,6162;5701128,3844;45,503436;9,166199;0;183860;0
1470;"";"9";8;1512474,2936;5039338,6732;512446,3247;5039318,5565;1019611,9344;5701740,3433;45,507288;9,15933;0;183861;0
1471;"";"9";8;1512448,7178;5039751,6239;512420,7477;5039731,4993;1019576,6513;5702330,8409;45,511006;9,159013;0;183862;0
1472;"";"9";8;1512945,2947;5040124,6233;512917,3136;5040104,4937;1020285,4161;5702862,7469;45,514354;9,16538;0;183863;0
